DATE,TNBPPRIVSA
2015-02-01,2074.0721692751504
2015-03-01,2594.86199812938
2015-04-01,2750.37250791862
2015-05-01,2871.5162591963
2015-06-01,2587.3584502190697
2015-07-01,2674.96550411226
2015-08-01,2850.2848092510303
2015-09-01,2413.75071625975
2015-10-01,3008.6700959818
2015-11-01,4259.06517052707
2015-12-01,3065.84850265398
2016-01-01,3325.50699463093
2016-02-01,4174.8061501457105
2016-03-01,3289.3172796879803
2016-04-01,2983.67463606556
2016-05-01,2630.98207918147
2016-06-01,2678.7335850858103
2016-07-01,2942.90090281194
2016-08-01,2815.0265522123304
2016-09-01,2834.68168684068
2016-10-01,2625.8581112585002
2016-11-01,2770.24346253834
2016-12-01,3815.60122760117
2017-01-01,2644.07622684476
2017-02-01,3337.29815965732
2017-03-01,3418.7913152055103
2017-04-01,2570.42056611728
2017-05-01,3427.6289823937896
2017-06-01,3964.80689966769
2017-07-01,3134.78099462396
2017-08-01,3716.8153250973705
2017-09-01,3500.10680171133
2017-10-01,2961.04073141511
2017-11-01,2833.4889114355
2017-12-01,3170.85138354533
2018-01-01,3145.40837112295
2018-02-01,2828.55837733292
2018-03-01,2666.69117012786
2018-04-01,3464.2336742051803
2018-05-01,3394.74736844375
2018-06-01,3412.57960481218
2018-07-01,3611.3577249257
2018-08-01,3250.38354707169
2018-09-01,3874.87797805031
2018-10-01,3640.5350587937396
2018-11-01,3194.8705846224702
2018-12-01,2484.251488768
2019-01-01,3070.6227287599104
2019-02-01,2934.9912539186303
2019-03-01,3531.9266534403496
2019-04-01,2801.43163878388
2019-05-01,4180.14833193366
2019-06-01,2840.04789094722
2019-07-01,3491.4859840816102
2019-08-01,3459.97416786221
2019-09-01,3421.0561430057
2019-10-01,4497.2824680566
2019-11-01,3736.99887380758
2019-12-01,3708.5014263999296
2020-01-01,3975.47963663911
2020-02-01,3997.7598692256
2020-03-01,2937.01405059287
2020-04-01,3528.16436595924
2020-05-01,3400.7577032572
2020-06-01,3685.52850384651
2020-07-01,5304.8479598454105
2020-08-01,4644.6327301971505
2020-09-01,4252.80050682628
2020-10-01,4124.0786229171
2020-11-01,4634.57533444521
2020-12-01,4492.650119762329
2021-01-01,4206.923163237921
2021-02-01,4059.3585821747297
2021-03-01,6013.47662914056
2021-04-01,4908.54847559097
2021-05-01,4925.32283115674
2021-06-01,5177.81350952599
2021-07-01,4177.615075597801
2021-08-01,4549.59392767799
2021-09-01,4226.88909675186
2021-10-01,4725.32186919438
2021-11-01,5326.68381583459
2021-12-01,5524.46978152074
2022-01-01,5317.411375566649
2022-02-01,4652.79999201198
2022-03-01,4145.34461858363
2022-04-01,3927.5203751389504
2022-05-01,3412.22023941269
2022-06-01,3446.48006890292
2022-07-01,3459.1327185417
2022-08-01,2617.90612132746
2022-09-01,3699.4055424516205
2022-10-01,2457.72982948873
2022-11-01,2543.8661510493203
2022-12-01,2414.9889775204997
2023-01-01,2605.6487125390804
2023-02-01,5084.82072851369
