DATE,GABPPRIVSA
2009-05-01,1304.59127501378
2009-06-01,1544.9180007209197
2009-07-01,1496.20645455385
2009-08-01,1662.04893880552
2009-09-01,1633.85733411413
2009-10-01,1494.3271197080498
2009-11-01,1409.4176217397303
2009-12-01,1952.5424567693399
2010-01-01,1377.23177376495
2010-02-01,1318.58286061772
2010-03-01,1641.98080959617
2010-04-01,1635.0275476994598
2010-05-01,1027.1619799641198
2010-06-01,1291.7612608045
2010-07-01,1790.9517465941897
2010-08-01,1307.49990202449
2010-09-01,1191.34356871971
2010-10-01,1013.49884345105
2010-11-01,1321.53159984731
2010-12-01,1384.14142359367
2011-01-01,1374.6435403562302
2011-02-01,1284.87920847595
2011-03-01,1518.63898636429
2011-04-01,1253.94674039058
2011-05-01,1552.95308718049
2011-06-01,1556.51418742639
2011-07-01,1281.60590001636
2011-08-01,2090.95864721233
2011-09-01,1549.1832711625198
2011-10-01,1721.8559092853302
2011-11-01,1911.1854798268803
2011-12-01,1285.41084134803
2012-01-01,2053.88118559928
2012-02-01,2143.08680592257
2012-03-01,1643.3177633307998
2012-04-01,2082.63741629216
2012-05-01,1484.85333778625
2012-06-01,1911.43244941031
2012-07-01,2042.0320754261102
2012-08-01,1945.6549396603698
2012-09-01,2275.82036370196
2012-10-01,2379.45371007392
2012-11-01,1741.8928273998401
2012-12-01,2468.36819514418
2013-01-01,2218.29581182461
2013-02-01,3095.50674155227
2013-03-01,2751.2682572036897
2013-04-01,2726.88868705562
2013-05-01,3251.5225668592198
2013-06-01,2987.6078262263
2013-07-01,2768.99901276682
2013-08-01,2631.84871949112
2013-09-01,3262.84165852885
2013-10-01,3006.98050209382
2013-11-01,3293.7970415251502
2013-12-01,2569.77401459562
2014-01-01,2135.42294463652
2014-02-01,2620.72050528749
2014-03-01,3617.5414645883097
2014-04-01,2667.96323690654
2014-05-01,3158.10214131393
2014-06-01,2586.95800524803
2014-07-01,3358.1381332672
2014-08-01,3522.27075075579
2014-09-01,2799.80423245908
2014-10-01,3194.5460842055895
2014-11-01,2767.3478192492403
2014-12-01,4022.5062765444104
2015-01-01,2939.9659835638204
2015-02-01,2909.12321455704
2015-03-01,3334.8996634496
2015-04-01,3689.22864828094
2015-05-01,3644.14815434135
2015-06-01,4026.7071288737397
2015-07-01,4125.19320805964
2015-08-01,3291.29466991191
2015-09-01,3256.4130386198804
2015-10-01,3727.89561368883
2015-11-01,4274.636142509
2015-12-01,3884.45774295424
2016-01-01,4037.32009190436
2016-02-01,4680.19756732874
2016-03-01,3885.69979631639
2016-04-01,4414.27751464743
2016-05-01,3686.0511983543797
2016-06-01,4597.775540829651
2016-07-01,3566.7477388939706
2016-08-01,3906.9303871542297
2016-09-01,4214.61459708297
2016-10-01,4243.9246535457705
2016-11-01,4301.89927647253
2016-12-01,5169.11722908274
2017-01-01,4818.32000365141
2017-02-01,3920.5833151189795
2017-03-01,4457.49710389181
2017-04-01,3576.7661521508003
2017-05-01,3865.7850587541498
2017-06-01,4072.3949571320795
2017-07-01,4238.9523989870595
2017-08-01,4909.91296598809
2017-09-01,4186.80876433229
2017-10-01,3816.47226960384
2017-11-01,3815.9849647846704
2017-12-01,3483.55296082627
2018-01-01,5219.83325172341
2018-02-01,3966.5806401184495
2018-03-01,5185.02096028278
2018-04-01,4550.86956497802
2018-05-01,5336.08511043215
2018-06-01,3607.31799773789
2018-07-01,4689.23113254617
2018-08-01,4417.79380106929
2018-09-01,4408.47681599057
2018-10-01,5196.17155551258
2018-11-01,5936.150627794971
2018-12-01,3972.08241121701
2019-01-01,4102.42558317813
2019-02-01,4471.7252632890795
2019-03-01,4079.9505982998708
2019-04-01,4490.67350220605
2019-05-01,4207.4429409126205
2019-06-01,3815.84444033259
2019-07-01,4226.39559121467
2019-08-01,4217.61044537837
2019-09-01,4382.77991119643
2019-10-01,5346.026059768929
2019-11-01,4032.4190597138
2019-12-01,4428.75098530777
2020-01-01,4442.26553836728
2020-02-01,4297.09228552249
2020-03-01,3345.64346011127
2020-04-01,3087.6531733963106
2020-05-01,3822.4356527034997
2020-06-01,4147.3203066267
2020-07-01,4647.85745295304
2020-08-01,4768.97908616391
2020-09-01,5306.5505283964
2020-10-01,4775.481791719621
2020-11-01,5206.90285717046
2020-12-01,5361.09037445758
2021-01-01,5344.20890634657
2021-02-01,4809.096504212321
2021-03-01,5407.59259053229
2021-04-01,5750.896875773299
2021-05-01,5301.05959800905
2021-06-01,5839.38359112047
2021-07-01,4811.83761019083
2021-08-01,5319.84504853528
2021-09-01,5611.449222732261
2021-10-01,4636.53625445551
2021-11-01,5853.0346033574
2021-12-01,6324.60621234479
2022-01-01,5287.45917399255
2022-02-01,6626.771582291551
2022-03-01,6821.8139197773
2022-04-01,6486.588855003621
2022-05-01,5982.66623982103
2022-06-01,5515.37288863989
2022-07-01,6383.84211674807
2022-08-01,7282.27966117003
2022-09-01,5713.72954330199
2022-10-01,5953.659181402139
2022-11-01,6182.19959774162
2022-12-01,5281.44529705465
2023-01-01,6014.46290234277
2023-02-01,5365.9706508501895
