DATE,IDBPPRIVSA
2015-05-01,703.733481214003
2015-06-01,746.7373034988029
2015-07-01,823.1579981577811
2015-08-01,724.239560154223
2015-09-01,850.635031425807
2015-10-01,738.6975728416701
2015-11-01,853.845549243741
2015-12-01,699.7371203641251
2016-01-01,1105.90806120773
2016-02-01,927.590188355876
2016-03-01,893.4351719355741
2016-04-01,981.729173143853
2016-05-01,1074.7042023547099
2016-06-01,901.7157043143089
2016-07-01,1000.3425613419802
2016-08-01,1043.8989622237
2016-09-01,831.561524130601
2016-10-01,869.4836261813871
2016-11-01,1013.6347803531199
2016-12-01,895.895555990946
2017-01-01,613.878801102327
2017-02-01,947.2260080253591
2017-03-01,991.1307974729111
2017-04-01,1136.43782545931
2017-05-01,1056.34658304436
2017-06-01,1207.9129465705698
2017-07-01,848.276740916159
2017-08-01,1408.06753970392
2017-09-01,1194.38425837762
2017-10-01,1364.53654462819
2017-11-01,1167.61923838322
2017-12-01,1102.58885803673
2018-01-01,1292.05326301987
2018-02-01,1380.1490550635099
2018-03-01,1411.6267300222198
2018-04-01,1098.3823385116
2018-05-01,1110.5196797571
2018-06-01,1199.8971208141302
2018-07-01,1111.95531487077
2018-08-01,1170.43749717377
2018-09-01,1407.41941562991
2018-10-01,1267.66083460682
2018-11-01,1254.83365630126
2018-12-01,1223.6018192327301
2019-01-01,1210.18284041593
2019-02-01,877.2033087536979
2019-03-01,1028.66283556862
2019-04-01,1368.1840419593
2019-05-01,1530.78078958986
2019-06-01,1028.50826846123
2019-07-01,1580.1847741775302
2019-08-01,1530.1572885425
2019-09-01,1190.29984876888
2019-10-01,1562.3195744743698
2019-11-01,1540.2946487448999
2019-12-01,1558.03352357212
2020-01-01,1910.62957528668
2020-02-01,1378.57805936825
2020-03-01,1211.77665399138
2020-04-01,1047.2651755642098
2020-05-01,1125.16456120818
2020-06-01,1196.18748533019
2020-07-01,1346.3242643616802
2020-08-01,1289.45626675648
2020-09-01,1596.71007093999
2020-10-01,1495.7411381187198
2020-11-01,1681.42141608257
2020-12-01,1998.27772449026
2021-01-01,1810.3623097560396
2021-02-01,1570.5490691678199
2021-03-01,1746.6152209823902
2021-04-01,1669.02445949198
2021-05-01,1318.70112437737
2021-06-01,1582.1170044522303
2021-07-01,1486.01037906006
2021-08-01,1496.03070457023
2021-09-01,1718.8140333393899
2021-10-01,1710.17228672849
2021-11-01,1591.0500965703302
2021-12-01,1776.81785893466
2022-01-01,1649.2424996846698
2022-02-01,1957.3904851377
2022-03-01,2083.8861404980303
2022-04-01,1904.7396772616396
2022-05-01,1906.46165498232
2022-06-01,1765.5356794487802
2022-07-01,1480.8570424625302
2022-08-01,1486.8783732565398
2022-09-01,1169.64858745541
2022-10-01,1113.49115239842
2022-11-01,1412.89552456268
2022-12-01,787.7489475441471
2023-01-01,1200.49852758135
2023-02-01,1136.72461399723
