DATE,LABPPRIVSA
2003-08-01,1460.38948691419
2003-09-01,2185.12560732872
2003-10-01,2078.76484535218
2003-11-01,1709.06893701549
2003-12-01,1942.93073111595
2004-01-01,1416.48251228104
2004-02-01,1642.8506081031
2004-03-01,1668.69473280147
2004-04-01,1791.6947003376602
2004-05-01,1626.37436907942
2004-06-01,1671.1387226106199
2004-07-01,1586.6445502043302
2004-08-01,1765.74390287922
2004-09-01,1715.56015052192
2004-10-01,1889.6000646585699
2004-11-01,2216.50298403442
2004-12-01,1917.4159723282698
2005-01-01,2219.5113244927397
2005-02-01,1762.1602859441603
2005-03-01,1814.3320840317
2005-04-01,1722.17695861797
2005-05-01,1577.68963833843
2005-06-01,1734.7146765569698
2005-07-01,1786.6703474436604
2005-08-01,1813.5270709433498
2005-09-01,1679.94044250955
2005-10-01,1654.1900096255
2005-11-01,2292.33429650744
2005-12-01,1748.48694184569
2006-01-01,1689.25179910444
2006-02-01,2071.1694888725897
2006-03-01,2198.1387279643104
2006-04-01,1741.1134360246601
2006-05-01,1779.0023913204898
2006-06-01,1841.9801724375
2006-07-01,1718.29277928365
2006-08-01,2013.5100841342103
2006-09-01,1754.7093165122199
2006-10-01,2057.71127828831
2006-11-01,1997.6536457694
2006-12-01,4562.19911527854
2007-01-01,2027.58078889756
2007-02-01,1442.7586129418803
2007-03-01,1688.48071513888
2007-04-01,1856.83905119724
2007-05-01,2026.04444836374
2007-06-01,2026.00942761763
2007-07-01,2029.35451296758
2007-08-01,1512.65910671219
2007-09-01,2347.69157281379
2007-10-01,1372.28415891288
2007-11-01,1436.1552985548099
2007-12-01,1628.58588544302
2008-01-01,1715.3749180105401
2008-02-01,1481.2723360513698
2008-03-01,1371.39810214379
2008-04-01,1917.7407685707299
2008-05-01,1355.5910643629302
2008-06-01,1046.9600919015402
2008-07-01,1267.07175563614
2008-08-01,1225.56091647822
2008-09-01,1523.66641104479
2008-10-01,965.530122710578
2008-11-01,709.3766384154379
2008-12-01,859.1476808446471
2009-01-01,967.574901094533
2009-02-01,1212.26684886312
