DATE,MTBPPRIVSA
2014-11-01,262.153973845002
2014-12-01,592.251348307095
2015-01-01,260.60481091542
2015-02-01,412.652669024784
2015-03-01,266.550373220108
2015-04-01,220.370497238336
2015-05-01,308.5691061681
2015-06-01,265.988992136265
2015-07-01,251.538972498468
2015-08-01,222.687716956382
2015-09-01,314.338453811866
2015-10-01,487.062622326908
2015-11-01,288.313881173947
2015-12-01,668.01436034265
2016-01-01,293.93649547846803
2016-02-01,289.243948348928
2016-03-01,249.144131270069
2016-04-01,292.704441521825
2016-05-01,316.26681018187696
2016-06-01,296.549557391176
2016-07-01,206.94203559885398
2016-08-01,332.006004847148
2016-09-01,650.2411747156671
2016-10-01,331.546177353287
2016-11-01,296.542462920999
2016-12-01,355.787260209602
2017-01-01,237.29323750495098
2017-02-01,328.35012156753504
2017-03-01,518.392215021702
2017-04-01,344.481871613037
2017-05-01,343.111602711459
2017-06-01,650.424557662291
2017-07-01,312.788874667916
2017-08-01,314.529054122522
2017-09-01,329.539050783306
2017-10-01,366.09660398907204
2017-11-01,329.679169844223
2017-12-01,233.32920738815702
2018-01-01,242.29213763525001
2018-02-01,268.299374607502
2018-03-01,302.976395611519
2018-04-01,377.92773078489
2018-05-01,321.539331391862
2018-06-01,326.154910636353
2018-07-01,339.704746071722
2018-08-01,303.995851242383
2018-09-01,354.36569175420897
2018-10-01,332.341964202243
2018-11-01,324.450193470488
2018-12-01,433.197883878811
2019-01-01,487.358157412732
2019-02-01,194.229482227033
2019-03-01,325.060776122406
2019-04-01,369.759070322211
2019-05-01,315.853747076708
2019-06-01,263.573347482295
2019-07-01,287.775055369164
2019-08-01,311.217219581247
2019-09-01,330.531118507442
2019-10-01,217.591528981813
2019-11-01,328.584470600904
2019-12-01,241.638240398148
2020-01-01,516.471533383325
2020-02-01,386.499188742768
2020-03-01,327.769091161953
2020-04-01,283.470711041171
2020-05-01,413.437375808889
2020-06-01,216.975632237787
2020-07-01,423.012552444405
2020-08-01,471.63764630618
2020-09-01,366.59487501047096
2020-10-01,297.242978898405
2020-11-01,369.65885805602
2020-12-01,726.122885323304
2021-01-01,405.54270694492203
2021-02-01,310.60059688922
2021-03-01,656.521649972883
2021-04-01,423.469579242271
2021-05-01,353.387577211838
2021-06-01,637.600691979058
2021-07-01,528.4860793709449
2021-08-01,457.996103982016
2021-09-01,459.281110711013
2021-10-01,527.603307615849
2021-11-01,1083.273743936
2021-12-01,638.241671030195
2022-01-01,655.577351131182
2022-02-01,840.174828708209
2022-03-01,565.978964456887
2022-04-01,512.7892551605851
2022-05-01,482.951689858942
2022-06-01,616.298641654075
2022-07-01,401.327126662366
2022-08-01,433.001230847124
2022-09-01,469.433682833807
2022-10-01,536.8548410346621
2022-11-01,254.49785221743198
2022-12-01,555.0085573329541
2023-01-01,362.965782937789
2023-02-01,501.777585018328
