DATE,MIBPPRIVSA
2009-12-01,703.862605857953
2010-01-01,880.190591656193
2010-02-01,826.8732308368179
2010-03-01,814.6872011406689
2010-04-01,736.950307880944
2010-05-01,597.738468627383
2010-06-01,773.821226002373
2010-07-01,651.96757994928
2010-08-01,747.777315760884
2010-09-01,640.313960404789
2010-10-01,724.369529067162
2010-11-01,1033.39496641376
2010-12-01,830.981704319263
2011-01-01,663.7081254219349
2011-02-01,683.800471859309
2011-03-01,734.8195580949749
2011-04-01,701.977984707656
2011-05-01,603.5185553942019
2011-06-01,715.903249960681
2011-07-01,720.705865048483
2011-08-01,778.795942073263
2011-09-01,748.372202266965
2011-10-01,714.3267649466341
2011-11-01,861.822451594368
2011-12-01,854.8488327266459
2012-01-01,788.6003366537849
2012-02-01,969.6655346564039
2012-03-01,1021.1442774035099
2012-04-01,918.5555764012171
2012-05-01,1062.2089351428501
2012-06-01,880.624122877726
2012-07-01,949.704990971135
2012-08-01,959.6215606196299
2012-09-01,942.393792372409
2012-10-01,1124.01529370141
2012-11-01,1200.61983243605
2012-12-01,951.478330329776
2013-01-01,1272.0183053053802
2013-02-01,1231.98998760108
2013-03-01,1172.14878847
2013-04-01,1293.9899256858198
2013-05-01,1224.06460370958
2013-06-01,1175.70487094995
2013-07-01,1156.9543816074302
2013-08-01,1278.3205441893099
2013-09-01,1579.8917409311402
2013-10-01,1292.33116151472
2013-11-01,1164.5131949116499
2013-12-01,1425.25164838406
2014-01-01,1496.1762053487198
2014-02-01,1039.14558046469
2014-03-01,1060.77537199069
2014-04-01,1121.89916646332
2014-05-01,1471.51567164039
2014-06-01,1364.55134569272
2014-07-01,1580.5569505850399
2014-08-01,1345.5734473794698
2014-09-01,1552.81904583263
2014-10-01,1339.52155199291
2014-11-01,1123.72858894537
2014-12-01,1241.29777065432
2015-01-01,1247.57063183562
2015-02-01,1043.28269781214
2015-03-01,1365.6877744756
2015-04-01,1671.8960404684199
2015-05-01,1515.81671129186
2015-06-01,2067.28242784253
2015-07-01,1742.0086955099803
2015-08-01,1708.1065487679998
2015-09-01,1833.7719372300699
2015-10-01,1911.32965875945
2015-11-01,2349.00885717423
2015-12-01,2071.39586447016
2016-01-01,2068.36025296178
2016-02-01,2136.87420883418
2016-03-01,1952.5583946946301
2016-04-01,2246.99822476237
2016-05-01,2002.7155835273102
2016-06-01,2290.76969184955
2016-07-01,2408.56896384495
2016-08-01,2166.41483018583
2016-09-01,2122.82382595126
2016-10-01,1892.20453914413
2016-11-01,2106.66860146001
2016-12-01,1776.4852483093
2017-01-01,1973.17516968147
2017-02-01,2585.58969414123
2017-03-01,2348.8844311006696
2017-04-01,1817.9156596179998
2017-05-01,2061.24623199939
2017-06-01,2330.00595999817
2017-07-01,1839.2627721319102
2017-08-01,2119.8790197994
2017-09-01,2025.64465866315
2017-10-01,2365.05644512637
2017-11-01,1956.64440538254
2017-12-01,2181.94579639762
2018-01-01,1900.9509007006197
2018-02-01,1552.1479156022901
2018-03-01,1660.1813277310598
2018-04-01,1861.592167824
2018-05-01,1756.1293918343802
2018-06-01,1473.2366444589002
2018-07-01,1524.6338756456698
2018-08-01,2152.49226481432
2018-09-01,1436.62265989307
2018-10-01,2340.8204582165304
2018-11-01,1552.41280385729
2018-12-01,1341.74276226663
2019-01-01,1780.5591260308802
2019-02-01,2141.18895381757
2019-03-01,1976.8410268805499
2019-04-01,1792.62626701155
2019-05-01,1984.27245664793
2019-06-01,1574.01354559969
2019-07-01,1836.2274572488102
2019-08-01,1649.62165754526
2019-09-01,1977.8645300163398
2019-10-01,1882.22647846057
2019-11-01,1503.3075334384303
2019-12-01,1410.62616178852
2020-01-01,1946.6724888576503
2020-02-01,1506.9276629878302
2020-03-01,1048.20372559121
2020-04-01,649.161939349093
2020-05-01,1297.51765635941
2020-06-01,1578.33675781722
2020-07-01,2059.6926293807
2020-08-01,1614.07578545955
2020-09-01,1832.2267194052697
2020-10-01,2006.12548527519
2020-11-01,2406.79019665842
2020-12-01,2613.19228631108
2021-01-01,2230.11373077994
2021-02-01,2037.30530937287
2021-03-01,2140.9150918080604
2021-04-01,1989.1896660073899
2021-05-01,1694.22600021233
2021-06-01,1987.7393320979102
2021-07-01,1705.65220461398
2021-08-01,1746.73325807889
2021-09-01,1797.81656363329
2021-10-01,1424.9632693023902
2021-11-01,1984.1506303429899
2021-12-01,1844.42485533102
2022-01-01,1767.7662729792603
2022-02-01,1835.8796751356101
2022-03-01,1962.65807516965
2022-04-01,1788.9139248316396
2022-05-01,2068.4844463232503
2022-06-01,1757.6825156002499
2022-07-01,1706.08409885941
2022-08-01,2359.72824696223
2022-09-01,1558.1100902895998
2022-10-01,1499.3947344951503
2022-11-01,1149.6919937692699
2022-12-01,1393.30104596703
2023-01-01,1517.3408214315198
2023-02-01,1353.4287722645802
