DATE,COBPPRIVSA
2015-10-01,2222.9397236511104
2015-11-01,2605.28705409525
2015-12-01,3023.63775222935
2016-01-01,2641.31707899905
2016-02-01,2670.37800108313
2016-03-01,2484.850429704
2016-04-01,2783.98801065257
2016-05-01,3656.89831234685
2016-06-01,2641.90900631459
2016-07-01,2853.5185145867304
2016-08-01,2975.22618024523
2016-09-01,3448.76327665511
2016-10-01,4147.4951614945
2016-11-01,3704.0094920364295
2016-12-01,2777.28500114597
2017-01-01,3650.93151140165
2017-02-01,3293.80171263807
2017-03-01,3281.09078646188
2017-04-01,3709.8964577144
2017-05-01,2998.52557015614
2017-06-01,4156.35616517447
2017-07-01,3139.62331122875
2017-08-01,4669.16456779079
2017-09-01,2903.64425023583
2017-10-01,3118.09008427651
2017-11-01,3627.47533186323
2017-12-01,2479.16200582342
2018-01-01,4256.19731273115
2018-02-01,4722.83494772394
2018-03-01,5363.49744423748
2018-04-01,3482.29889383029
2018-05-01,3855.17954731515
2018-06-01,3350.20658562617
2018-07-01,3372.5237328693297
2018-08-01,3420.18115154127
2018-09-01,4077.16208703435
2018-10-01,3226.08808306353
2018-11-01,3667.6791638180703
2018-12-01,3899.43002597743
2019-01-01,3229.4325773237297
2019-02-01,3027.49085543053
2019-03-01,3015.5613549084696
2019-04-01,3545.9782082322295
2019-05-01,3842.70673171204
2019-06-01,3663.5674550606
2019-07-01,3924.01828912557
2019-08-01,3153.1717523753005
2019-09-01,3181.65618645271
2019-10-01,4085.89499493155
2019-11-01,3737.93574342279
2019-12-01,3631.94005497976
2020-01-01,3457.2496558277003
2020-02-01,3590.48912877062
2020-03-01,3628.68982010019
2020-04-01,3284.03246812826
2020-05-01,2714.60138532647
2020-06-01,3423.31890125811
2020-07-01,4124.243426902371
2020-08-01,4519.35521442865
2020-09-01,4458.15100358195
2020-10-01,4919.65040028601
2020-11-01,3960.68336257552
2020-12-01,4831.6366627973
2021-01-01,5188.2525672250895
2021-02-01,4152.52900465288
2021-03-01,4540.49999363149
2021-04-01,5592.9414611313505
2021-05-01,4525.207173668689
2021-06-01,4663.9116357368
