DATE,NYBPPRIVSA
2019-05-01,2921.75935704305
2019-06-01,3145.68495425999
2019-07-01,3415.1417963941103
2019-08-01,3739.02168553327
2019-09-01,2964.1871085867306
2019-10-01,4083.7967863718104
2019-11-01,4711.44860825755
2019-12-01,4000.3477838106396
2020-01-01,4770.08232635359
2020-02-01,2838.77211749479
2020-03-01,2220.28792448649
2020-04-01,1109.89166190195
2020-05-01,2827.35156426815
2020-06-01,3236.27792625329
2020-07-01,3593.9275323163106
2020-08-01,3064.2199337445195
2020-09-01,4197.48929115877
2020-10-01,3402.25451154676
2020-11-01,3151.24631402563
2020-12-01,3496.40548615034
2021-01-01,3825.9150416994203
2021-02-01,3760.407069036379
2021-03-01,3259.28608959471
2021-04-01,3197.22723912919
2021-05-01,4025.53198604341
2021-06-01,3644.7488947424895
2021-07-01,2923.17263803391
2021-08-01,4735.38351685959
2021-09-01,2678.4701779184697
2021-10-01,3140.9181359387203
2021-11-01,3880.4505088059495
2021-12-01,3141.8278471064
2022-01-01,3066.6323183592
2022-02-01,3726.83802042774
2022-03-01,7103.258471668141
2022-04-01,3925.5584683409
2022-05-01,3663.81899891479
2022-06-01,4258.3846352337205
2022-07-01,3706.93652727985
2022-08-01,4157.07683202117
2022-09-01,2635.04544255184
2022-10-01,2312.7082129732503
2022-11-01,1895.3540588139101
2022-12-01,2201.8251778082604
2023-01-01,1313.2544673254401
2023-02-01,2318.4064037824
