DATE,KYBPPRIVSA
2009-01-01,561.699015214023
2009-02-01,496.313861559188
2009-03-01,461.412265898314
2009-04-01,459.515561933658
2009-05-01,495.790704492916
2009-06-01,579.1794187831771
2009-07-01,604.733820977864
2009-08-01,847.3940061544811
2009-09-01,529.566910035083
2009-10-01,529.590528619578
2009-11-01,594.374177142182
2009-12-01,630.908483005801
2010-01-01,563.5639031289891
2010-02-01,515.556589949411
2010-03-01,687.6901429971671
2010-04-01,632.573018902067
2010-05-01,530.3906057836119
2010-06-01,477.509172261514
2010-07-01,545.04215768171
2010-08-01,546.893408901654
2010-09-01,537.218521811509
2010-10-01,685.907420137802
2010-11-01,479.492020659098
2010-12-01,571.4298076055841
2011-01-01,522.655432796483
2011-02-01,571.87869036492
2011-03-01,498.763116279253
2011-04-01,546.721923125524
2011-05-01,486.43690767121905
2011-06-01,562.256402136278
2011-07-01,440.78486183345103
2011-08-01,588.7871487570881
2011-09-01,624.026299667909
2011-10-01,610.940723966633
2011-11-01,713.604600540307
2011-12-01,561.855567468001
2012-01-01,563.20036163236
2012-02-01,638.03700167905
2012-03-01,791.1601999492999
2012-04-01,476.57683182080905
2012-05-01,656.269899980885
2012-06-01,713.165155191055
2012-07-01,634.5052038450181
2012-08-01,757.556230033029
2012-09-01,940.9121514066451
2012-10-01,666.883407100079
2012-11-01,624.986723424692
2012-12-01,468.479166326412
2013-01-01,644.026523211578
2013-02-01,705.807483608386
2013-03-01,684.9520748033709
2013-04-01,802.28201821867
2013-05-01,1331.6506145338699
2013-06-01,726.3393612854601
2013-07-01,772.312591612752
2013-08-01,689.6388459702811
2013-09-01,745.8565985777001
2013-10-01,723.0386360318089
2013-11-01,802.0911987606979
2013-12-01,999.4347838585389
2014-01-01,1144.8235736940899
2014-02-01,755.019709857458
2014-03-01,817.102047394809
2014-04-01,765.2206141332949
2014-05-01,686.986368280274
2014-06-01,691.807789605866
2014-07-01,786.5748366822701
2014-08-01,632.449632523942
2014-09-01,733.8256167048061
2014-10-01,676.424391793347
2014-11-01,592.71736292054
2014-12-01,747.5426465245599
2015-01-01,869.1043291615899
2015-02-01,767.810387601055
2015-03-01,656.743396024811
2015-04-01,789.684284940486
2015-05-01,839.176556583203
2015-06-01,800.321129947296
2015-07-01,855.165494167162
2015-08-01,760.6395006681329
2015-09-01,917.461902464446
2015-10-01,1154.46597070431
2015-11-01,1019.76662145351
2015-12-01,931.029948945478
2016-01-01,912.94337312276
2016-02-01,953.4898864331191
2016-03-01,1103.76414302431
2016-04-01,949.268509968439
2016-05-01,941.541423343051
2016-06-01,1146.46329563017
2016-07-01,928.37301109816
2016-08-01,1127.21897919597
2016-09-01,921.972714301236
2016-10-01,991.0769721006351
2016-11-01,1309.93525789627
2016-12-01,888.6864457795641
2017-01-01,854.865757759961
2017-02-01,1036.25391621783
2017-03-01,1007.85832097991
2017-04-01,932.433177515953
2017-05-01,1211.4506927259401
2017-06-01,985.927443918053
2017-07-01,951.738130657892
2017-08-01,993.6613754246499
2017-09-01,895.728394520108
2017-10-01,836.3515423212601
2017-11-01,1127.2137116532099
2017-12-01,1117.6403147527199
2018-01-01,1050.78982815048
2018-02-01,849.7397086313879
2018-03-01,1181.71725346042
2018-04-01,1775.8907225271898
2018-05-01,904.0627637269059
2018-06-01,1209.41237965342
2018-07-01,1111.0056605818
2018-08-01,1262.1683661095099
2018-09-01,1287.28425580725
2018-10-01,1297.22907325821
2018-11-01,870.056185648163
2018-12-01,1146.30135260757
2019-01-01,1141.09852110045
2019-02-01,915.285227572649
2019-03-01,765.317976298525
2019-04-01,1259.0074709444198
2019-05-01,1135.25969676914
2019-06-01,819.3302210973101
2019-07-01,1333.7409500870401
2019-08-01,1073.07675533943
2019-09-01,1074.6644762942
2019-10-01,1273.3478620678
2019-11-01,966.379632710962
2019-12-01,908.729490025792
2020-01-01,1389.5744559456698
2020-02-01,1031.45608541755
2020-03-01,831.451570748039
2020-04-01,781.230377087152
2020-05-01,959.052299960577
2020-06-01,1099.37064070052
2020-07-01,983.613302054414
2020-08-01,1203.21024364071
2020-09-01,1206.5946611541801
2020-10-01,937.2772821713361
2020-11-01,1212.77405862107
2020-12-01,1135.73539085251
2021-01-01,1290.12405026079
2021-02-01,1854.8176712405398
2021-03-01,1544.5707410760099
2021-04-01,1274.45597730849
2021-05-01,1184.73527527291
2021-06-01,1036.16599875885
2021-07-01,1049.6481832831698
2021-08-01,951.85214142501
2021-09-01,1126.28142703565
2021-10-01,1110.31617371858
2021-11-01,1408.3905635832598
2021-12-01,1688.2269244953
2022-01-01,1196.84823124112
2022-02-01,1081.57090739733
2022-03-01,1154.1564570314802
2022-04-01,1099.18284485892
2022-05-01,1125.05899988427
2022-06-01,1059.45268034329
2022-07-01,1187.63422081667
2022-08-01,1217.85942369965
2022-09-01,1118.8037356312
2022-10-01,1537.3829205249099
2022-11-01,1065.40781227256
2022-12-01,1321.32217938438
2023-01-01,1118.1628074692699
2023-02-01,1286.18705376592
