DATE,UTBPPRIVSA
2019-10-01,2692.7216066119
2019-11-01,2654.91276123852
2019-12-01,1989.63781107309
2020-01-01,2497.00131324433
2020-02-01,2156.9819642903303
2020-03-01,2811.97133802325
2020-04-01,2054.67930830147
2020-05-01,2072.9962519479
2020-06-01,2020.2201856336499
2020-07-01,2484.77812611955
2020-08-01,2643.61471894337
2020-09-01,2455.4317382813897
2020-10-01,2936.7230641099104
2020-11-01,2973.1207325419396
2020-12-01,3128.49602627581
2021-01-01,3300.29352542976
2021-02-01,3132.0797571518797
2021-03-01,3323.2018163988396
2021-04-01,3890.00046603
2021-05-01,3333.81016071428
2021-06-01,3573.23693522286
2021-07-01,3791.42409937109
2021-08-01,3594.49321679784
2021-09-01,3567.1391467431704
2021-10-01,2437.1018194428198
2021-11-01,3319.13940896067
2021-12-01,3874.02826420198
2022-01-01,3527.8461311025
2022-02-01,3671.91185745161
2022-03-01,3393.36695550923
2022-04-01,2875.82029726966
2022-05-01,2757.1264906633696
2022-06-01,2732.83516052095
2022-07-01,2390.44498708013
2022-08-01,2064.1330706831895
2022-09-01,2341.0717869052696
2022-10-01,1786.6044567946399
2022-11-01,1651.5318616892498
2022-12-01,2201.23587029673
2023-01-01,2068.63050765865
2023-02-01,2372.78450622847
