DATE,SCBPPRIVSA
2020-09-01,3757.4823425758295
2020-10-01,4048.53264246134
2020-11-01,4279.0736550717
2020-12-01,4634.7656643030705
2021-01-01,3800.4685176772796
2021-02-01,3894.9116408403497
2021-03-01,3938.1199505346704
2021-04-01,4199.63259942383
2021-05-01,3847.8388599730297
2021-06-01,5082.9579751130295
2021-07-01,4060.09733837345
2021-08-01,3427.5148336350703
2021-09-01,4347.8080901412395
2021-10-01,4197.4796851723795
2021-11-01,4500.11114423789
2021-12-01,3940.7213119826897
2022-01-01,4325.04695382468
2022-02-01,4118.42473941232
2022-03-01,4261.28458833443
2022-04-01,4287.5196187402
2022-05-01,4141.12550535806
2022-06-01,3807.82442540522
2022-07-01,3682.85499191576
2022-08-01,3626.63860213187
2022-09-01,3382.93827422282
2022-10-01,3545.0813453683795
2022-11-01,3152.1368572846004
2022-12-01,3330.5221504569204
2023-01-01,3174.20516566665
2023-02-01,3290.03405220024
