DATE,INBPPRIVSA
2021-06-01,2525.4800615239396
2021-07-01,2380.59194188636
2021-08-01,2185.001468856
2021-09-01,2449.30245467969
2021-10-01,1935.5470031457
2021-11-01,2454.94472821513
2021-12-01,4092.08518656062
2022-01-01,3188.1911810049605
2022-02-01,2757.5865651120503
2022-03-01,2771.55109228999
2022-04-01,2923.56830665599
2022-05-01,2500.0606006451603
2022-06-01,1653.29780343944
2022-07-01,1974.7246286242998
2022-08-01,2116.9636389487
2022-09-01,2845.22997804102
2022-10-01,2064.52287672593
2022-11-01,2048.6308597547895
2022-12-01,1964.2470496835
2023-01-01,2092.77500589053
2023-02-01,2061.4781637044102
