DATE,WVBPPRIVSA
2018-09-01,256.940255048251
2018-10-01,218.85606794423802
2018-11-01,276.211222583115
2018-12-01,282.802191895431
2019-01-01,370.61125510849405
2019-02-01,337.54132077757
2019-03-01,288.16140057481397
2019-04-01,195.04900123021702
2019-05-01,444.31783766261805
2019-06-01,238.152521885243
2019-07-01,301.548204616786
2019-08-01,267.153596935947
2019-09-01,268.93786688029
2019-10-01,242.877794650969
2019-11-01,328.04148493378
2019-12-01,260.288796871755
2020-01-01,343.01416451342203
2020-02-01,248.248211306111
2020-03-01,257.17714162934504
2020-04-01,278.372107509414
2020-05-01,247.526709851359
2020-06-01,308.115743713731
2020-07-01,351.458496861209
2020-08-01,433.004046907798
2020-09-01,343.200236813652
2020-10-01,345.056006455964
2020-11-01,328.141375201324
2020-12-01,322.861312136995
2021-01-01,242.588076345847
2021-02-01,728.691965437497
2021-03-01,394.341832725263
2021-04-01,236.07419884223998
2021-05-01,275.079216594393
2021-06-01,368.49123553915297
2021-07-01,230.910867827928
2021-08-01,268.539847773995
2021-09-01,296.202273421271
2021-10-01,269.153517196381
2021-11-01,319.555535919506
2021-12-01,320.036130070267
2022-01-01,327.28541196548997
2022-02-01,333.663289065295
2022-03-01,309.621416112346
2022-04-01,351.009877661766
2022-05-01,342.374226003761
2022-06-01,303.404902639399
2022-07-01,282.971689795748
2022-08-01,264.165428370662
2022-09-01,224.272209591375
2022-10-01,240.50359028091302
2022-11-01,219.205088941815
2022-12-01,242.415982875714
2023-01-01,240.365982188749
2023-02-01,285.34594521843496
