DATE,MNBPPRIVSA
1999-10-01,2374.4589984515696
1999-11-01,2731.83720208537
1999-12-01,2907.27249475539
2000-01-01,2761.3649001356
2000-02-01,3290.96153410335
2000-03-01,3252.0850747295503
2000-04-01,2969.64548527968
2000-05-01,2533.80254254421
2000-06-01,2496.6116108164397
2000-07-01,2343.9572637221
2000-08-01,2794.11885072515
2000-09-01,2660.51856026519
2000-10-01,2779.37110970219
2000-11-01,2705.6715925087196
2000-12-01,2187.2172170742397
2001-01-01,2768.26765536229
2001-02-01,2268.44904036891
2001-03-01,2677.33655827869
2001-04-01,2292.3096246149103
2001-05-01,3069.1599501750898
2001-06-01,2730.43882516542
2001-07-01,2761.59848518305
2001-08-01,2556.95318658052
2001-09-01,2660.44344076894
2001-10-01,2570.9801238914497
2001-11-01,3794.85180244721
2001-12-01,2833.0284602829197
2002-01-01,4202.817636866379
2002-02-01,3419.67474529778
2002-03-01,2650.3906431414302
2002-04-01,3119.9126354595896
2002-05-01,2791.24720482643
2002-06-01,2633.17708145536
2002-07-01,3180.8883961369297
2002-08-01,2992.98045488856
2002-09-01,2930.10652772187
2002-10-01,3354.54451001421
2002-11-01,2762.73568951134
2002-12-01,3307.35537290104
2003-01-01,3551.1472652163793
2003-02-01,3116.57180182678
