DATE,ILBPPRIVSA
2004-09-01,5599.62825413445
2004-10-01,5201.242165988139
2004-11-01,4887.81758084995
2004-12-01,5104.72547918879
2005-01-01,4314.83930487526
2005-02-01,5023.92386433684
2005-03-01,5732.247227967329
2005-04-01,5760.487565915821
2005-05-01,5649.07349047573
2005-06-01,5534.71635333297
2005-07-01,5577.80117304987
2005-08-01,6087.25479878417
2005-09-01,5999.15153010439
2005-10-01,5792.550376189971
2005-11-01,6412.68903658813
2005-12-01,5892.401853730029
2006-01-01,5926.335197730121
2006-02-01,6207.91202494893
2006-03-01,5409.33762710063
2006-04-01,5218.79317634153
2006-05-01,5613.394230554371
2006-06-01,4929.403746994551
2006-07-01,5102.82618149745
2006-08-01,4765.888700516421
2006-09-01,4016.5570910093797
2006-10-01,4431.41637523829
2006-11-01,3810.4733428700397
2006-12-01,3557.0491683570503
2007-01-01,5200.82787812812
2007-02-01,4150.33885543776
2007-03-01,4083.58018892339
2007-04-01,3499.56161606257
2007-05-01,3843.51818829125
2007-06-01,3905.7920250572297
2007-07-01,3128.4331070130897
2007-08-01,3096.84310796534
2007-09-01,3216.32805303676
2007-10-01,3026.71885931437
2007-11-01,2888.1565148354903
2007-12-01,2967.23946844916
2008-01-01,2987.39335052122
2008-02-01,2063.24431006361
2008-03-01,1513.8968857761902
2008-04-01,3130.0321840506
2008-05-01,1755.1060956912802
2008-06-01,1660.70920465638
2008-07-01,1877.4618170195101
2008-08-01,1749.38140337783
2008-09-01,1466.09969535638
2008-10-01,1433.6903424224201
2008-11-01,1156.29195474541
2008-12-01,1381.5989512287101
2009-01-01,1273.4218863373
2009-02-01,1184.5442771867401
2009-03-01,649.150279181757
2009-04-01,862.982988057822
2009-05-01,515.081640328533
2009-06-01,811.777195156931
2009-07-01,1171.4688954805802
2009-08-01,702.7754617709841
2009-09-01,1160.32734048451
2009-10-01,767.3282060799809
2009-11-01,1222.7697411664599
2009-12-01,924.543499563055
2010-01-01,921.226692946176
2010-02-01,1207.6722597403698
2010-03-01,944.217236802868
2010-04-01,1116.28199002605
2010-05-01,1120.4071762971
2010-06-01,969.222904557556
2010-07-01,685.537532791665
2010-08-01,754.3258885073801
2010-09-01,857.5890529298109
2010-10-01,970.632721504991
2010-11-01,765.364069413526
2010-12-01,1148.09430364461
2011-01-01,1429.9564978667402
2011-02-01,926.488366369925
2011-03-01,817.786003561353
2011-04-01,790.277363517864
2011-05-01,996.368774976602
2011-06-01,998.825552437748
2011-07-01,752.489467297135
2011-08-01,1235.62111420844
2011-09-01,862.9454385485069
2011-10-01,1174.2809046436698
2011-11-01,1207.9623261507902
2011-12-01,1278.95804830474
2012-01-01,1097.63452590971
2012-02-01,1036.1195550155999
2012-03-01,1408.89527699125
2012-04-01,825.428267443136
2012-05-01,935.879717529769
2012-06-01,911.602141076784
2012-07-01,1046.82927563619
2012-08-01,1323.12228233789
2012-09-01,1417.94970323906
2012-10-01,1162.75474984329
2012-11-01,1353.527690967
2012-12-01,1006.4322253939999
2013-01-01,1300.1528505399301
2013-02-01,1205.24158876526
2013-03-01,1207.77131527172
2013-04-01,1226.27835457489
2013-05-01,1412.0302120154402
2013-06-01,1103.3038474714501
2013-07-01,1211.5994995373
2013-08-01,1154.05650675681
2013-09-01,2421.32232480461
2013-10-01,1579.87583999053
2013-11-01,1582.34025284441
2013-12-01,1216.90966733565
2014-01-01,1421.5514086806302
2014-02-01,1296.70691911827
2014-03-01,1640.25118422801
2014-04-01,2088.40915814784
2014-05-01,1766.1174720682998
2014-06-01,1958.0792521689898
2014-07-01,2182.66886202755
2014-08-01,1354.65398887077
2014-09-01,1349.18260504712
2014-10-01,1743.4648939616102
2014-11-01,981.21429746092
2014-12-01,2035.8525880556501
2015-01-01,1316.33747774651
2015-02-01,2032.7960915592998
2015-03-01,1315.85079143235
2015-04-01,1592.56558745331
2015-05-01,1568.13780301914
2015-06-01,2140.96943082336
2015-07-01,1514.82412528472
2015-08-01,1905.21292034142
2015-09-01,1437.1073130095801
2015-10-01,1319.3230425291001
2015-11-01,2338.24881947738
2015-12-01,1631.00428901632
2016-01-01,2628.21274316754
2016-02-01,1541.10073907266
2016-03-01,2216.72743463933
2016-04-01,827.398355857411
2016-05-01,1884.3371270352
2016-06-01,1356.20498421771
2016-07-01,2114.07445608038
2016-08-01,1732.73328190547
2016-09-01,2106.19375785126
2016-10-01,3109.7182747674
2016-11-01,1172.1825816828
2016-12-01,1507.73384739145
2017-01-01,1513.8944143820902
2017-02-01,2262.30745743474
2017-03-01,1435.5023363456
2017-04-01,2436.7804862642997
2017-05-01,1432.77111955048
2017-06-01,3426.52009082835
2017-07-01,1335.5225872388498
2017-08-01,2108.0330963891197
2017-09-01,1823.04485423935
2017-10-01,1897.9078274658102
2017-11-01,1682.12241517668
2017-12-01,2127.15994629481
2018-01-01,1450.49058525292
2018-02-01,1380.5054504239802
2018-03-01,1989.4480293641
2018-04-01,1608.74991919943
2018-05-01,2963.7313365774103
2018-06-01,1891.29043509308
2018-07-01,1499.6115779697302
2018-08-01,1803.65211704564
2018-09-01,2278.55141154232
2018-10-01,1917.5504070139898
2018-11-01,2346.3036480235896
2018-12-01,1405.46423929119
2019-01-01,1945.89362494191
2019-02-01,1730.3578162969598
2019-03-01,929.3237461775791
2019-04-01,3056.28759601892
2019-05-01,2080.16129365679
2019-06-01,1309.2584870098199
2019-07-01,1892.03399172087
2019-08-01,1526.25132078069
2019-09-01,1183.9771996000802
2019-10-01,1525.58497372911
2019-11-01,1722.3382852971
2019-12-01,2208.52043928582
2020-01-01,1739.14133709977
2020-02-01,1794.2217583407198
2020-03-01,1611.1610235922599
2020-04-01,1062.20647316554
2020-05-01,1223.63164992245
2020-06-01,1488.2896924869299
2020-07-01,1704.5445429325198
2020-08-01,1222.79591739065
2020-09-01,1527.43334102926
2020-10-01,1443.1153730274302
2020-11-01,1288.42894744168
2020-12-01,1443.6485599865
2021-01-01,1513.7580776444
2021-02-01,1614.14001056299
2021-03-01,1375.9966189292402
2021-04-01,1668.5659231009301
2021-05-01,1466.50263283926
2021-06-01,1983.6103883063502
2021-07-01,1903.52859700006
2021-08-01,1809.19911576504
2021-09-01,1401.77392063021
2021-10-01,2423.41780868948
2021-11-01,1485.12075372565
2021-12-01,1254.34521751949
2022-01-01,1827.38101845096
2022-02-01,1545.8025678081199
2022-03-01,1869.40617903142
2022-04-01,1928.8815761500898
2022-05-01,1731.1171159088901
2022-06-01,1403.30730014774
2022-07-01,1091.84552513574
2022-08-01,1707.62336352504
2022-09-01,2005.66078957682
2022-10-01,1558.64113760177
2022-11-01,1619.45533777611
2022-12-01,1857.78699551276
2023-01-01,1497.77050134703
2023-02-01,1444.8987863735001
