DATE,TXBPPRIVSA
2013-10-01,15537.4565599622
2013-11-01,12523.2266221177
2013-12-01,13614.880921128999
2014-01-01,13721.807803763899
2014-02-01,12797.0968401753
2014-03-01,11149.0390891746
2014-04-01,16841.2286808185
2014-05-01,14128.9707537902
2014-06-01,12028.112295012199
2014-07-01,13947.766877016102
2014-08-01,13744.411300002701
2014-09-01,14387.8285876599
2014-10-01,13746.8378536954
2014-11-01,12348.0188112796
2014-12-01,16539.6776538866
2015-01-01,12483.231568346
2015-02-01,14988.6850770055
2015-03-01,13481.940236002
2015-04-01,14942.087837810901
2015-05-01,11244.0629009083
2015-06-01,15911.1322276795
2015-07-01,14896.493695303401
2015-08-01,13535.1568728176
2015-09-01,13934.8813371046
2015-10-01,15084.4905614429
2015-11-01,15119.2540935976
2015-12-01,15740.1022979251
2016-01-01,12669.3829442344
2016-02-01,13543.4547252622
2016-03-01,13751.6892745
2016-04-01,12309.4409348719
2016-05-01,13369.232594493898
2016-06-01,13488.3248425126
2016-07-01,13617.9255362326
2016-08-01,13551.335432452099
2016-09-01,14768.4169415227
2016-10-01,12389.0179206694
2016-11-01,14011.095164106799
2016-12-01,12871.1429234721
2017-01-01,15886.059150873201
2017-02-01,14454.1542089823
2017-03-01,15652.189877320501
2017-04-01,13837.643061139299
2017-05-01,14317.839873774199
2017-06-01,14720.9311181621
2017-07-01,12172.058323521398
2017-08-01,14832.8691261426
2017-09-01,13247.6150340326
2017-10-01,15560.4436368879
2017-11-01,14197.0788139885
2017-12-01,12657.4219081232
2018-01-01,15447.1711323078
2018-02-01,13427.7302209407
2018-03-01,14464.8994181334
2018-04-01,20013.0642765698
2018-05-01,15396.364062016699
2018-06-01,16397.688463108
2018-07-01,15822.656873149399
2018-08-01,14558.886971904
2018-09-01,14684.5510647154
2018-10-01,13646.7640031414
2018-11-01,16421.3533606862
2018-12-01,16739.3654333225
2019-01-01,14135.6025958149
2019-02-01,16148.7253569348
2019-03-01,14630.4091701909
2019-04-01,15800.8647861953
2019-05-01,18097.5035927631
2019-06-01,13237.1389818577
2019-07-01,16897.6933950344
2019-08-01,18249.285648457
2019-09-01,18127.8428607485
2019-10-01,20531.9808353423
2019-11-01,18505.970089163602
2019-12-01,16299.8662392517
2020-01-01,17715.1187420475
2020-02-01,18091.7179024623
2020-03-01,17651.825762585402
2020-04-01,15935.198771560601
2020-05-01,15266.8555586623
2020-06-01,15556.5405943126
2020-07-01,19326.3317245566
2020-08-01,17579.2022259373
2020-09-01,23524.026708098398
2020-10-01,19932.2410915163
2020-11-01,20237.8457313121
2020-12-01,22732.7224068268
2021-01-01,22292.176827463198
2021-02-01,20106.0027503386
2021-03-01,21308.957846791698
2021-04-01,22721.7702578092
2021-05-01,21064.4993255019
2021-06-01,21169.3520958437
2021-07-01,19583.9656028644
2021-08-01,22223.191761937796
2021-09-01,19662.2240837539
2021-10-01,18577.3976598424
2021-11-01,20957.2657236984
2021-12-01,22990.046929577
2022-01-01,23482.7148520921
2022-02-01,22496.8982900577
2022-03-01,23739.7227936544
2022-04-01,23530.8685064623
2022-05-01,22317.6045740191
2022-06-01,23401.9285507673
2022-07-01,22582.7932109762
2022-08-01,19962.7966736523
2022-09-01,21158.4446569291
2022-10-01,21959.5254941806
2022-11-01,18033.4948322869
2022-12-01,17298.614952647902
2023-01-01,17208.0947582582
2023-02-01,19141.1979912906
